slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
dwellir-shiden-dedicated,Dwellir,Dedicated,Recent-State,shiden,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
onfinality-astar-free,OnFinality,Free,Recent-State,astar,0,$0,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""400k units/day""]",[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://astar.api.onfinality.io/public"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-astar-pay-as-you-go,OnFinality,Pay-as-you-go,Full Archive,astar,$49/$249 with 20M/100M units included,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-astar-enterprise,OnFinality,Enterprise,Full Archive,astar,Custom,Custom,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://onfinality.io/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-astar-dedicated,OnFinality,Dedicated,Recent-State,astar,from $350,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-astar-dedicated-archive,OnFinality,Dedicated,Full Archive,astar,from $470,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-astar-dedicated-collator,OnFinality,Dedicated,Collator,astar,from $510,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,NULL,,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-astar-dedicated-trace,OnFinality,Dedicated,Trace,astar,from $550,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-shiden-free,OnFinality,Free,Recent-State,shiden,0,$0,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""400k units/day""]",[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://astar.api.onfinality.io/public"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-shiden-pay-as-you-go,OnFinality,Pay-as-you-go,Full Archive,shiden,$49/$249 with 20M/100M units included,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",,[],"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
